,id,from,at,to,open,close,min,max,volume
71,4159162,2025-10-15 06:03:00,2025-10-15 06:04:00,2025-10-15 06:04:00,1.128125,1.127155,1.127045,1.128295,0
72,4159163,2025-10-15 06:04:00,2025-10-15 06:05:00,2025-10-15 06:05:00,1.127195,1.126935,1.126305,1.127255,0
73,4159164,2025-10-15 06:05:00,2025-10-15 06:06:00,2025-10-15 06:06:00,1.126855,1.127475,1.126835,1.127905,0
74,4159165,2025-10-15 06:06:00,2025-10-15 06:07:00,2025-10-15 06:07:00,1.127395,1.126105,1.126105,1.127395,0
75,4159166,2025-10-15 06:07:00,2025-10-15 06:08:00,2025-10-15 06:08:00,1.126175,1.127285,1.126175,1.127665,0
76,4159167,2025-10-15 06:08:00,2025-10-15 06:09:00,2025-10-15 06:09:00,1.127285,1.127945,1.127285,1.128245,0
77,4159168,2025-10-15 06:09:00,2025-10-15 06:10:00,2025-10-15 06:10:00,1.127975,1.127115,1.126765,1.127975,0
78,4159169,2025-10-15 06:10:00,2025-10-15 06:11:00,2025-10-15 06:11:00,1.127235,1.126655,1.126315,1.127705,0
79,4159170,2025-10-15 06:11:00,2025-10-15 06:12:00,2025-10-15 06:12:00,1.126855,1.124965,1.124965,1.126855,0
80,4159171,2025-10-15 06:12:00,2025-10-15 06:13:00,2025-10-15 06:13:00,1.124945,1.124645,1.123995,1.124945,0
81,4159172,2025-10-15 06:13:00,2025-10-15 06:14:00,2025-10-15 06:14:00,1.124545,1.124145,1.124145,1.124665,0
82,4159173,2025-10-15 06:14:00,2025-10-15 06:15:00,2025-10-15 06:15:00,1.124055,1.125035,1.123805,1.125345,0
83,4159174,2025-10-15 06:15:00,2025-10-15 06:16:00,2025-10-15 06:16:00,1.125015,1.124135,1.123625,1.125045,0
84,4159175,2025-10-15 06:16:00,2025-10-15 06:17:00,2025-10-15 06:17:00,1.124135,1.124675,1.123905,1.124985,0
85,4159176,2025-10-15 06:17:00,2025-10-15 06:18:00,2025-10-15 06:18:00,1.124675,1.122365,1.122365,1.124695,0
86,4159177,2025-10-15 06:18:00,2025-10-15 06:19:00,2025-10-15 06:19:00,1.122565,1.122055,1.121295,1.122755,0
87,4159178,2025-10-15 06:19:00,2025-10-15 06:20:00,2025-10-15 06:20:00,1.122035,1.122475,1.121775,1.122625,0
88,4159179,2025-10-15 06:20:00,2025-10-15 06:21:00,2025-10-15 06:21:00,1.122455,1.124325,1.122245,1.124355,0
89,4159180,2025-10-15 06:21:00,2025-10-15 06:22:00,2025-10-15 06:22:00,1.124325,1.123195,1.123165,1.124445,0
90,4159181,2025-10-15 06:22:00,2025-10-15 06:23:00,2025-10-15 06:23:00,1.123295,1.123835,1.123025,1.123835,0
91,4159182,2025-10-15 06:23:00,2025-10-15 06:24:00,2025-10-15 06:24:00,1.123805,1.122825,1.122215,1.123855,0
92,4159183,2025-10-15 06:24:00,2025-10-15 06:25:00,2025-10-15 06:25:00,1.122825,1.121765,1.121605,1.123165,0
93,4159184,2025-10-15 06:25:00,2025-10-15 06:26:00,2025-10-15 06:26:00,1.121765,1.120975,1.120835,1.122035,0
94,4159185,2025-10-15 06:26:00,2025-10-15 06:27:00,2025-10-15 06:27:00,1.120945,1.120655,1.120155,1.120945,0
95,4159186,2025-10-15 06:27:00,2025-10-15 06:28:00,2025-10-15 06:28:00,1.120575,1.119695,1.119695,1.120885,0
96,4159187,2025-10-15 06:28:00,2025-10-15 06:29:00,2025-10-15 06:29:00,1.119675,1.120155,1.119455,1.120595,0
97,4159188,2025-10-15 06:29:00,2025-10-15 06:30:00,2025-10-15 06:30:00,1.120075,1.120495,1.120005,1.120935,0
98,4159189,2025-10-15 06:30:00,2025-10-15 06:31:00,2025-10-15 06:31:00,1.120975,1.119965,1.119635,1.121145,0
99,4159190,2025-10-15 06:31:00,2025-10-15 06:32:00,2025-10-15 06:32:00,1.119965,1.119005,1.118945,1.119965,0
100,4159191,2025-10-15 06:32:00,2025-10-15 06:33:00,2025-10-15 06:33:00,1.119005,1.120235,1.118805,1.120325,0
